athlete,avg_hr,avg_power,category,classification_confidence,durability_index,duration_min,error,file,ftp_used,intensity_factor,max_power,normalized_power,np_drift_pct,parsed,parser_note,quality_score,subtype,tss
001_Athlete_01,140.3,252.9,HIIT,0.45,101.3,150.0,,001_activity_031.fit,301.1,0.945,400.0,284.6,7.3,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,223.4
001_Athlete_01,140.1,263.6,HIIT,0.45,,102.0,,001_activity_032.fit,301.1,0.984,400.0,296.3,2.0,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,164.7
001_Athlete_01,134.6,262.6,STEADY,0.5,,79.0,,001_activity_033.fit,301.1,0.957,400.0,288.1,-4.8,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,threshold_continuous,120.5
001_Athlete_01,138.5,247.4,HIIT,0.45,102.9,131.0,,001_activity_034.fit,301.1,0.937,398.0,282.3,2.9,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,191.9
001_Athlete_01,139.2,238.6,HIIT,0.45,97.0,129.0,,001_activity_035.fit,301.1,0.916,398.0,275.7,0.1,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,180.3
001_Athlete_01,137.2,251.3,HIIT,0.45,,92.0,,001_activity_036.fit,301.1,0.932,392.0,280.6,-7.8,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,133.2
001_Athlete_01,143.4,247.1,HIIT,0.45,,87.0,,001_activity_037.fit,301.1,0.918,388.0,276.4,-1.6,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,122.2
001_Athlete_01,140.5,251.5,HIIT,0.45,,115.0,,001_activity_038.fit,301.1,0.943,396.0,284.0,-2.6,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,170.5
001_Athlete_01,137.5,249.2,HIIT,0.45,102.0,122.0,,001_activity_039.fit,301.1,0.941,400.0,283.4,2.6,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,180.1
001_Athlete_01,140.5,259.1,HIIT,0.45,87.9,165.0,,001_activity_040.fit,301.1,0.96,400.0,289.2,-6.9,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,253.7
001_Athlete_01,139.3,253.1,HIIT,0.45,,85.0,,001_activity_041.fit,301.1,0.938,398.0,282.4,-4.6,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,124.6
001_Athlete_01,137.9,258.0,HIIT,0.45,94.6,162.0,,001_activity_042.fit,301.1,0.962,398.0,289.7,-1.3,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,250.0
001_Athlete_01,134.5,243.9,HIIT,0.45,,44.0,,001_activity_043.fit,301.1,0.921,398.0,277.3,3.5,True,"synthetic_binary_parser(offset=73, stride=15)",0.94,hiit_unspecified,62.2
001_Athlete_01,141.1,244.9,HIIT,0.45,103.1,143.0,,001_activity_044.fit,301.1,0.931,396.0,280.4,0.9,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,206.7
001_Athlete_01,140.8,249.7,HIIT,0.45,,93.0,,001_activity_045.fit,301.1,0.935,396.0,281.4,-2.2,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,135.4
001_Athlete_01,143.7,256.9,HIIT,0.45,,119.0,,001_activity_046.fit,301.1,0.954,400.0,287.2,5.6,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,180.5
001_Athlete_01,141.8,250.4,HIIT,0.45,,116.0,,001_activity_047.fit,301.1,0.924,395.0,278.3,-2.7,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,165.1
001_Athlete_01,138.7,248.1,HIIT,0.45,,103.0,,001_activity_048.fit,301.1,0.945,397.0,284.5,-7.4,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,153.3
001_Athlete_01,138.8,250.8,HIIT,0.45,112.2,155.0,,001_activity_049.fit,301.1,0.938,398.0,282.3,7.2,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,227.1
001_Athlete_01,141.3,240.8,HIIT,0.45,102.3,143.0,,001_activity_050.fit,301.1,0.913,399.0,275.0,2.1,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,198.9
002_Athlete_02,140.8,245.2,HIIT,0.45,101.1,146.0,,002_activity_001.fit,292.1,0.946,400.0,276.3,1.2,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,217.8
002_Athlete_02,143.2,250.6,HIIT,0.45,101.8,152.0,,002_activity_002.fit,292.1,0.964,399.0,281.5,3.6,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,235.3
002_Athlete_02,142.2,248.6,HIIT,0.45,106.6,177.0,,002_activity_003.fit,292.1,0.967,400.0,282.3,9.2,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,275.6
002_Athlete_02,138.6,258.0,STEADY,0.5,,52.0,,002_activity_004.fit,292.1,0.952,382.0,278.2,-1.3,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,threshold_continuous,78.6
002_Athlete_02,141.6,245.7,HIIT,0.45,101.5,168.0,,002_activity_005.fit,292.1,0.958,399.0,279.8,-0.4,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,256.9
002_Athlete_02,137.6,254.4,HIIT,0.45,,58.0,,002_activity_006.fit,292.1,0.98,400.0,286.2,-6.9,True,"synthetic_binary_parser(offset=73, stride=15)",0.94,hiit_unspecified,92.8
002_Athlete_02,138.1,236.4,HIIT,0.45,,59.0,,002_activity_007.fit,292.1,0.933,395.0,272.6,-4.3,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,85.6
002_Athlete_02,139.9,248.9,HIIT,0.45,90.2,153.0,,002_activity_008.fit,292.1,0.962,400.0,281.0,-6.6,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,236.0
002_Athlete_02,141.4,261.3,HIIT,0.45,107.4,168.0,,002_activity_009.fit,292.1,0.984,398.0,287.5,7.6,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,271.3
002_Athlete_02,142.0,242.7,HIIT,0.45,,88.0,,002_activity_010.fit,292.1,0.952,398.0,278.0,7.5,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,132.8
002_Athlete_02,138.0,243.8,HIIT,0.45,,57.0,,002_activity_011.fit,292.1,0.941,393.0,274.9,3.2,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,84.2
002_Athlete_02,139.3,243.8,HIIT,0.45,95.8,142.0,,002_activity_012.fit,292.1,0.951,400.0,277.7,-2.9,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,213.9
002_Athlete_02,140.8,251.5,HIIT,0.45,100.9,133.0,,002_activity_013.fit,292.1,0.966,400.0,282.3,0.4,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,207.0
002_Athlete_02,142.8,273.7,STEADY,0.5,,49.0,,002_activity_014.fit,292.1,1.028,398.0,300.2,7.5,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,threshold_continuous,86.3
002_Athlete_02,137.5,250.0,HIIT,0.45,104.6,162.0,,002_activity_015.fit,292.1,0.974,397.0,284.4,5.6,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,256.0
002_Athlete_02,136.8,244.4,HIIT,0.45,,87.0,,002_activity_016.fit,292.1,0.931,399.0,272.0,-0.6,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,125.7
002_Athlete_02,139.6,254.7,HIIT,0.45,95.2,137.0,,002_activity_017.fit,292.1,0.978,399.0,285.6,-6.1,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,218.2
002_Athlete_02,143.8,256.8,HIIT,0.45,,44.0,,002_activity_018.fit,292.1,0.989,397.0,288.7,-8.6,True,"synthetic_binary_parser(offset=73, stride=15)",0.94,hiit_unspecified,71.7
002_Athlete_02,141.1,249.1,HIIT,0.45,,94.0,,002_activity_019.fit,292.1,0.972,400.0,283.8,6.0,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,147.9
002_Athlete_02,144.0,240.8,HIIT,0.45,,49.0,,002_activity_020.fit,292.1,0.937,393.0,273.7,4.5,True,"synthetic_binary_parser(offset=73, stride=15)",0.94,hiit_unspecified,71.7
002_Athlete_02,141.1,252.5,HIIT,0.45,101.7,145.0,,002_activity_021.fit,292.1,0.977,400.0,285.2,4.9,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,230.4
002_Athlete_02,136.6,268.7,HIIT,0.45,,82.0,,002_activity_022.fit,292.1,1.019,399.0,297.7,-3.0,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,142.0
002_Athlete_02,140.5,241.5,HIIT,0.45,88.9,127.0,,002_activity_023.fit,292.1,0.94,396.0,274.6,-6.9,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,187.0
002_Athlete_02,142.0,267.0,HIIT,0.45,,50.0,,002_activity_024.fit,292.1,1.031,399.0,301.2,2.8,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,88.6
002_Athlete_02,139.5,254.3,STEADY,0.5,,66.0,,002_activity_025.fit,292.1,0.953,397.0,278.4,2.2,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,threshold_continuous,100.0
002_Athlete_02,140.9,269.1,HIIT,0.45,,69.0,,002_activity_026.fit,292.1,1.025,396.0,299.4,-5.4,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,120.8
002_Athlete_02,141.0,254.4,HIIT,0.45,,109.0,,002_activity_027.fit,292.1,0.973,399.0,284.2,4.4,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,171.9
002_Athlete_02,141.4,253.8,HIIT,0.45,98.0,151.0,,002_activity_028.fit,292.1,0.979,400.0,285.9,-0.7,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,241.1
002_Athlete_02,140.8,233.8,HIIT,0.45,,98.0,,002_activity_029.fit,292.1,0.926,399.0,270.4,-14.6,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,139.9
002_Athlete_02,141.5,259.3,HIIT,0.45,97.1,134.0,,002_activity_030.fit,292.1,0.998,398.0,291.4,-1.4,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,222.3
002_Athlete_02,139.1,244.2,HIIT,0.45,,51.0,,002_activity_031.fit,292.1,0.96,398.0,280.3,5.2,True,"synthetic_binary_parser(offset=73, stride=15)",0.94,hiit_unspecified,78.3
002_Athlete_02,138.0,243.9,HIIT,0.45,,119.0,,002_activity_032.fit,292.1,0.936,400.0,273.4,-4.3,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,173.7
002_Athlete_02,137.2,252.5,HIIT,0.45,,67.0,,002_activity_033.fit,292.1,0.965,397.0,281.9,0.1,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,104.0
002_Athlete_02,136.7,244.7,HIIT,0.45,97.7,145.0,,002_activity_034.fit,292.1,0.941,397.0,274.9,-4.7,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,214.0
002_Athlete_02,140.2,241.6,HIIT,0.45,,84.0,,002_activity_035.fit,292.1,0.924,400.0,270.0,3.5,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,119.6
002_Athlete_02,139.7,250.1,HIIT,0.45,103.3,160.0,,002_activity_036.fit,292.1,0.963,399.0,281.2,4.2,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,247.2
002_Athlete_02,139.3,254.1,HIIT,0.45,98.0,128.0,,002_activity_037.fit,292.1,0.979,400.0,285.9,-1.0,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,204.4
002_Athlete_02,142.3,249.9,HIIT,0.45,,88.0,,002_activity_038.fit,292.1,0.976,398.0,285.1,2.4,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,139.7
002_Athlete_02,141.5,238.7,HIIT,0.45,,70.0,,002_activity_039.fit,292.1,0.932,399.0,272.1,3.4,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,101.2
002_Athlete_02,142.2,251.2,HIIT,0.45,97.5,173.0,,002_activity_040.fit,292.1,0.974,400.0,284.4,-4.6,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,273.3
002_Athlete_02,142.8,262.9,HIIT,0.45,,103.0,,002_activity_041.fit,292.1,1.018,400.0,297.3,4.8,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,177.9
002_Athlete_02,140.6,259.1,HIIT,0.45,108.0,176.0,,002_activity_042.fit,292.1,0.99,400.0,289.2,0.2,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,287.5
002_Athlete_02,138.4,242.2,HIIT,0.45,,78.0,,002_activity_043.fit,292.1,0.952,398.0,278.0,-6.7,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,117.8
002_Athlete_02,143.4,248.9,HIIT,0.45,87.1,122.0,,002_activity_044.fit,292.1,0.966,400.0,282.2,-6.6,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,189.7
002_Athlete_02,144.4,255.7,HIIT,0.45,,114.0,,002_activity_045.fit,292.1,0.991,397.0,289.3,1.6,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,186.4
002_Athlete_02,137.8,254.5,HIIT,0.45,110.4,121.0,,002_activity_046.fit,292.1,0.984,398.0,287.5,6.5,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,195.4
002_Athlete_02,139.6,260.0,HIIT,0.45,,68.0,,002_activity_047.fit,292.1,0.994,397.0,290.4,1.5,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,112.0
002_Athlete_02,140.5,254.0,HIIT,0.45,108.6,148.0,,002_activity_048.fit,292.1,0.978,396.0,285.6,3.5,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,235.8
002_Athlete_02,141.9,244.5,HIIT,0.45,100.2,178.0,,002_activity_049.fit,292.1,0.948,399.0,276.8,3.4,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,266.5
002_Athlete_02,140.7,247.9,HIIT,0.45,104.3,174.0,,002_activity_050.fit,292.1,0.957,399.0,279.7,0.8,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,265.9
003_Athlete_03,143.0,249.5,HIIT,0.45,,109.0,,003_activity_001.fit,298.7,0.947,395.0,282.8,9.1,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,162.9
003_Athlete_03,144.3,243.2,HIIT,0.45,101.5,166.0,,003_activity_002.fit,298.7,0.917,396.0,273.8,4.0,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,232.5
003_Athlete_03,143.9,253.8,HIIT,0.45,,111.0,,003_activity_003.fit,298.7,0.954,398.0,285.0,-5.4,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,168.4
003_Athlete_03,140.5,251.1,HIIT,0.45,112.4,161.0,,003_activity_004.fit,298.7,0.958,400.0,286.1,3.9,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,246.2
003_Athlete_03,139.9,256.4,HIIT,0.45,,116.0,,003_activity_005.fit,298.7,0.971,400.0,290.1,2.0,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,182.4
003_Athlete_03,140.0,242.9,HIIT,0.45,95.1,152.0,,003_activity_006.fit,298.7,0.926,394.0,276.7,-3.6,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,217.4
003_Athlete_03,137.2,221.0,HIIT,0.45,,45.0,,003_activity_007.fit,298.7,0.849,398.0,253.5,13.2,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,54.0
003_Athlete_03,141.3,254.9,HIIT,0.45,97.9,132.0,,003_activity_008.fit,298.7,0.96,399.0,286.8,-3.9,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,202.9
003_Athlete_03,142.6,242.4,HIIT,0.45,,105.0,,003_activity_009.fit,298.7,0.902,392.0,269.5,5.2,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,142.5
003_Athlete_03,139.7,260.6,HIIT,0.45,,97.0,,003_activity_010.fit,298.7,0.964,400.0,287.8,4.0,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,150.1
003_Athlete_03,141.5,249.2,HIIT,0.45,92.4,155.0,,003_activity_011.fit,298.7,0.942,399.0,281.3,-1.7,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,229.1
003_Athlete_03,138.6,246.7,HIIT,0.45,101.7,164.0,,003_activity_012.fit,298.7,0.93,400.0,277.8,2.2,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,236.4
003_Athlete_03,144.3,251.9,HIIT,0.45,,49.0,,003_activity_013.fit,298.7,0.953,400.0,284.8,-6.6,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,74.2
003_Athlete_03,142.3,259.6,HIIT,0.45,101.7,145.0,,003_activity_014.fit,298.7,0.972,399.0,290.2,0.8,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,228.2
003_Athlete_03,142.6,246.6,HIIT,0.45,,54.0,,003_activity_015.fit,298.7,0.927,400.0,276.8,1.3,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,77.3
003_Athlete_03,137.3,262.1,HIIT,0.45,106.6,135.0,,003_activity_016.fit,298.7,0.982,397.0,293.4,3.5,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,217.1
003_Athlete_03,138.6,249.1,HIIT,0.45,103.6,177.0,,003_activity_017.fit,298.7,0.95,400.0,283.9,5.0,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,266.5
003_Athlete_03,138.6,254.6,HIIT,0.45,,108.0,,003_activity_018.fit,298.7,0.976,400.0,291.4,-6.7,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,171.3
003_Athlete_03,137.2,249.9,HIIT,0.45,,60.0,,003_activity_019.fit,298.7,0.932,396.0,278.5,-9.7,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,86.9
003_Athlete_03,139.9,253.6,HIIT,0.45,102.6,164.0,,003_activity_020.fit,298.7,0.959,400.0,286.5,0.4,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,251.4
003_Athlete_03,138.1,245.8,HIIT,0.45,,91.0,,003_activity_021.fit,298.7,0.938,400.0,280.1,-1.2,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,133.4
003_Athlete_03,142.0,243.6,HIIT,0.45,,67.0,,003_activity_022.fit,298.7,0.912,399.0,272.3,1.2,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,92.8
003_Athlete_03,140.2,258.7,HIIT,0.45,,49.0,,003_activity_023.fit,298.7,0.983,397.0,293.7,5.8,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,78.9
003_Athlete_03,140.7,263.1,HIIT,0.45,,85.0,,003_activity_024.fit,298.7,0.977,398.0,291.9,4.2,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,135.3
003_Athlete_03,142.6,246.8,HIIT,0.45,89.6,161.0,,003_activity_025.fit,298.7,0.931,398.0,278.2,-5.4,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,232.7
003_Athlete_03,143.2,257.0,HIIT,0.45,,109.0,,003_activity_026.fit,298.7,0.969,399.0,289.3,3.3,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,170.5
003_Athlete_03,141.9,254.4,HIIT,0.45,96.1,154.0,,003_activity_027.fit,298.7,0.96,398.0,286.7,-0.8,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,236.5
003_Athlete_03,139.4,245.4,HIIT,0.45,,108.0,,003_activity_028.fit,298.7,0.929,398.0,277.5,0.0,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,155.4
003_Athlete_03,140.0,256.7,HIIT,0.45,106.3,166.0,,003_activity_029.fit,298.7,0.963,400.0,287.6,1.0,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,256.5
003_Athlete_03,138.8,230.5,HIIT,0.45,,44.0,,003_activity_030.fit,298.7,0.894,400.0,267.1,2.5,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,58.6
